"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence","mode"
"1","A2M_LRP1","A2M","alpha-2-macroglobulin","LRP1","low density lipoprotein receptor-related protein 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","A2M","LRP1","","known","literature supported","Protease inhibition"
"2","AANAT_MTNR1A","AANAT","aralkylamine N-acetyltransferase","MTNR1A","melatonin receptor 1A","","HPMR","","","","","AANAT","MTNR1A","","known","literature supported","UNCAT"
"3","AANAT_MTNR1B","AANAT","aralkylamine N-acetyltransferase","MTNR1B","melatonin receptor 1B","","HPMR","","","","","AANAT","MTNR1B","","known","literature supported","UNCAT"
"4","ACE_AGTR2","ACE","angiotensin I converting enzyme","AGTR2","angiotensin II receptor, type 2","","","","HPRD","","","ACE","AGTR2","","novel","literature supported","UNCAT"
"5","ACE_BDKRB2","ACE","angiotensin I converting enzyme","BDKRB2","bradykinin receptor B2","","","","HPRD","","","ACE","BDKRB2","","novel","literature supported","UNCAT"
"6","ADAM10_AXL","ADAM10","ADAM metallopeptidase domain 10","AXL","AXL receptor tyrosine kinase","","","","HPRD","","","ADAM10","AXL","","novel","literature supported","ADAM"
"7","ADAM10_EPHA3","ADAM10","ADAM metallopeptidase domain 10","EPHA3","EPH receptor A3","","","","HPRD","","STRING.experiment","ADAM10","EPHA3","","novel","literature supported","ADAM"
"8","ADAM12_ITGA9","ADAM12","ADAM metallopeptidase domain 12","ITGA9","integrin, alpha 9","","HPMR","","","STRING.binding","","ADAM12","ITGA9","","known","literature supported","ADAM"
"9","ADAM12_ITGB1","ADAM12","ADAM metallopeptidase domain 12","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM12","ITGB1","","known","literature supported","ADAM"
"10","ADAM12_SDC4","ADAM12","ADAM metallopeptidase domain 12","SDC4","syndecan 4","","HPMR","","","STRING.binding","","ADAM12","SDC4","","known","literature supported","ADAM"
"11","ADAM15_ITGA5","ADAM15","ADAM metallopeptidase domain 15","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM15","ITGA5","","known","literature supported","ADAM"
"12","ADAM15_ITGA9","ADAM15","ADAM metallopeptidase domain 15","ITGA9","integrin, alpha 9","","HPMR","","","STRING.binding","","ADAM15","ITGA9","","known","literature supported","ADAM"
"13","ADAM15_ITGAV","ADAM15","ADAM metallopeptidase domain 15","ITGAV","integrin, alpha V","","","","","STRING.binding","","ADAM15","ITGAV","9914169","novel","literature supported","ADAM"
"14","ADAM15_ITGB1","ADAM15","ADAM metallopeptidase domain 15","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM15","ITGB1","","known","literature supported","ADAM"
"15","ADAM15_ITGB3","ADAM15","ADAM metallopeptidase domain 15","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","ADAM15","ITGB3","","known","literature supported","ADAM"
"16","ADAM17_ERBB4","ADAM17","ADAM metallopeptidase domain 17","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","","","","HPRD","","","ADAM17","ERBB4","","novel","literature supported","ADAM"
"17","ADAM17_ITGA5","ADAM17","ADAM metallopeptidase domain 17","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM17","ITGA5","","known","literature supported","ADAM"
"18","ADAM17_ITGB1","ADAM17","ADAM metallopeptidase domain 17","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","","","ADAM17","ITGB1","","known","literature supported","ADAM"
"19","ADAM17_NOTCH1","ADAM17","ADAM metallopeptidase domain 17","NOTCH1","notch 1","","","","HPRD","STRING.binding","","ADAM17","NOTCH1","","novel","literature supported","NOTCH"
"20","ADAM23_ITGA5","ADAM23","ADAM metallopeptidase domain 23","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","HPMR","","","","","ADAM23","ITGA5","","known","literature supported","ADAM"
"21","ADAM23_ITGB3","ADAM23","ADAM metallopeptidase domain 23","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","ADAM23","ITGB3","","known","literature supported","ADAM"
"22","ADAM28_ITGA4","ADAM28","ADAM metallopeptidase domain 28","ITGA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","","","","HPRD","","","ADAM28","ITGA4","","novel","literature supported","ADAM"
"23","ADAM2_CD9","ADAM2","ADAM metallopeptidase domain 2","CD9","CD9 molecule","","","","HPRD","","","ADAM2","CD9","","novel","literature supported","ADAM"
"24","ADAM2_ITGA6","ADAM2","ADAM metallopeptidase domain 2","ITGA6","integrin, alpha 6","","HPMR","","","","","ADAM2","ITGA6","","known","literature supported","ADAM"
"25","ADAM2_ITGA9","ADAM2","ADAM metallopeptidase domain 2","ITGA9","integrin, alpha 9","","","","","STRING.binding","","ADAM2","ITGA9","21060781","novel","literature supported","ADAM"
"26","ADAM2_ITGB1","ADAM2","ADAM metallopeptidase domain 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","STRING.binding","","ADAM2","ITGB1","","known","literature supported","ADAM"
"27","ADAM2_ITGB7","ADAM2","ADAM metallopeptidase domain 2","ITGB7","integrin, beta 7","","","","","","","","","21060781","novel","literature supported","ADAM"
"28","ADAM9_ITGA3","ADAM9","ADAM metallopeptidase domain 9","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","","","","HPRD","","","ADAM9","ITGA3","","novel","literature supported","ADAM"
"29","ADAM9_ITGA6","ADAM9","ADAM metallopeptidase domain 9","ITGA6","integrin, alpha 6","","HPMR","","HPRD","","","ADAM9","ITGA6","","known","literature supported","ADAM"
"30","ADAM9_ITGAV","ADAM9","ADAM metallopeptidase domain 9","ITGAV","integrin, alpha V","","HPMR","","HPRD","","","ADAM9","ITGAV","","known","literature supported","ADAM"
"31","ADAM9_ITGB1","ADAM9","ADAM metallopeptidase domain 9","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","HPMR","","","","","ADAM9","ITGB1","","known","literature supported","ADAM"
"32","ADAM9_ITGB5","ADAM9","ADAM metallopeptidase domain 9","ITGB5","integrin, beta 5","","HPMR","","","","","ADAM9","ITGB5","","known","literature supported","ADAM"
"33","ADCYAP1_ADCYAP1R1","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","ADCYAP1R1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","","HPMR","IUPHAR","HPRD","","","ADCYAP1","ADCYAP1R1","","known","literature supported","UNCAT"
"34","ADCYAP1_SCTR","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","SCTR","secretin receptor","","","","HPRD","","","ADCYAP1","SCTR","","novel","literature supported","UNCAT"
"35","ADCYAP1_VIPR1","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","VIPR1","vasoactive intestinal peptide receptor 1","","HPMR","IUPHAR","HPRD","","","ADCYAP1","VIPR1","","known","literature supported","UNCAT"
"36","ADCYAP1_VIPR2","ADCYAP1","adenylate cyclase activating polypeptide 1 (pituitary)","VIPR2","vasoactive intestinal peptide receptor 2","","","IUPHAR","HPRD","","","ADCYAP1","VIPR2","","known","literature supported","UNCAT"
"37","ADIPOQ_ADIPOR1","ADIPOQ","adiponectin, C1Q and collagen domain containing","ADIPOR1","adiponectin receptor 1","","HPMR","","","STRING.binding","","ADIPOQ","ADIPOR1","","known","literature supported","Adiponectin"
"38","ADIPOQ_ADIPOR2","ADIPOQ","adiponectin, C1Q and collagen domain containing","ADIPOR2","adiponectin receptor 2","","HPMR","","HPRD","","","ADIPOQ","ADIPOR2","","known","literature supported","Adiponectin"
"39","ADM2_CALCR","ADM2","adrenomedullin 2","CALCR","calcitonin receptor","","","IUPHAR","","","","ADM2","CALCR","","known","literature supported","Vasoactive"
"40","ADM2_CALCRL","ADM2","adrenomedullin 2","CALCRL","calcitonin receptor-like","","HPMR","","","","","ADM2","CALCRL","","known","literature supported","Vasoactive"
"41","ADM2_RAMP1","ADM2","adrenomedullin 2","RAMP1","receptor (G protein-coupled) activity modifying protein 1","","HPMR","","","","","ADM2","RAMP1","","known","literature supported","Vasoactive"
"42","ADM_CALCR","ADM","adrenomedullin","CALCR","calcitonin receptor","","","IUPHAR","","","","ADM","CALCR","","known","literature supported","Vasoactive"
"43","ADM_CALCRL","ADM","adrenomedullin","CALCRL","calcitonin receptor-like","","HPMR","","HPRD","","","ADM","CALCRL","","known","literature supported","Vasoactive"
"44","ADM_GPR182","ADM","adrenomedullin","GPR182","G protein-coupled receptor 182","","HPMR","","","","","ADM","ADMR","","known","literature supported","Vasoactive"
"45","ADM_MRGPRX2","ADM","adrenomedullin","MRGPRX2","MAS-related GPR, member X2","","HPMR","IUPHAR","","","","ADM","MRGPRX2","","known","literature supported","Vasoactive"
"46","ADM_RAMP2","ADM","adrenomedullin","RAMP2","receptor (G protein-coupled) activity modifying protein 2","","HPMR","","","","","ADM","RAMP2","","known","literature supported","Vasoactive"
"47","AGRN_ATP1A3","AGRN","agrin","ATP1A3","ATPase, Na+/K+ transporting, alpha 3 polypeptide","","","","","STRING.binding","","","","16630822","novel","literature supported","Matrix glycoproteins"
"48","AGRN_LRP4","AGRN","agrin","LRP4","low density lipoprotein receptor-related protein 4","","","","","","","","","18848351","novel","literature supported","Matrix glycoproteins"
"49","AGRN_MUSK","AGRN","agrin","MUSK","muscle, skeletal, receptor tyrosine kinase","","HPMR","","","","","","MUSK","","known","literature supported","Matrix glycoproteins"
"50","AGRP_MC3R","AGRP","agouti related protein homolog (mouse)","MC3R","melanocortin 3 receptor","","HPMR","IUPHAR","HPRD","STRING.binding","","AGRP","MC3R","","known","literature supported","UNCAT"
"51","AGRP_MC4R","AGRP","agouti related protein homolog (mouse)","MC4R","melanocortin 4 receptor","","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","AGRP","MC4R","","known","literature supported","UNCAT"
"52","AGRP_MC5R","AGRP","agouti related protein homolog (mouse)","MC5R","melanocortin 5 receptor","","","IUPHAR","HPRD","","","AGRP","MC5R","","known","literature supported","UNCAT"
"53","AGRP_SDC3","AGRP","agouti related protein homolog (mouse)","SDC3","syndecan 3","","","","","STRING.binding","","AGRP","SDC3","11461706","novel","literature supported","UNCAT"
"54","AGT_AGTR1","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","AGTR1","angiotensin II receptor, type 1","","HPMR","IUPHAR","HPRD","","","AGT","AGTR1","","known","literature supported","Vasoactive"
"55","AGT_AGTR2","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","AGTR2","angiotensin II receptor, type 2","","HPMR","IUPHAR","HPRD","","","AGT","AGTR2","","known","literature supported","Vasoactive"
"56","AGT_LRP2","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","LRP2","low density lipoprotein receptor-related protein 2","","HPMR","","","","","AGT","LRP2","","known","literature supported","Vasoactive"
"57","AGT_MAS1","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","MAS1","MAS1 oncogene","","HPMR","","HPRD","","","AGT","MAS1","","known","literature supported","Vasoactive"
"58","AHSG_INSR","AHSG","alpha-2-HS-glycoprotein","INSR","insulin receptor","","","","HPRD","","","","INSR","","novel","literature supported","UNCAT"
"59","ALB_LRP2","ALB","albumin","LRP2","low density lipoprotein receptor-related protein 2","","","","HPRD","STRING.binding","","ALB","LRP2","","novel","literature supported","UNCAT"
"60","ALOX5AP_ALOX5","ALOX5AP","arachidonate 5-lipoxygenase-activating protein","ALOX5","arachidonate 5-lipoxygenase","","","IUPHAR","HPRD","STRING.binding","","","","","known","EXCLUDED not receptor","UNCAT"
"61","AMELX_LAMP1","AMELX","amelogenin, X-linked","LAMP1","lysosomal-associated membrane protein 1","","","","","","","","","20382373","novel","literature supported","UNCAT"
"62","AMELY_LAMP1","AMELY","amelogenin, Y-linked","LAMP1","lysosomal-associated membrane protein 1","","","","","","","","","20382373","novel","literature supported","UNCAT"
"63","AMH_ACVR1","AMH","anti-Mullerian hormone","ACVR1","activin A receptor, type I","","","","","STRING.binding","","AMH","ACVR1","14656470","novel","literature supported","UNCAT"
"64","AMH_AMHR2","AMH","anti-Mullerian hormone","AMHR2","anti-Mullerian hormone receptor, type II","DLRP","HPMR","","HPRD","STRING.binding","","AMH","AMHR2","","known","literature supported","UNCAT"
"65","AMH_EGFR","AMH","anti-Mullerian hormone","EGFR","epidermal growth factor receptor","","","","HPRD","","","AMH","EGFR","","novel","literature supported","EGF"
"66","ANGPT1_ITGA5","ANGPT1","angiopoietin 1","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","","","","HPRD","STRING.binding","","ANGPT1","ITGA5","","novel","literature supported","ANGPT"
