"","ligand","receptor"
"1","ICOSLG","ICOS"
"2","ICOSLG","CD28"
"3","CD80","CD28"
"4","CD86","CD28"
"5","CD70","CD27"
"6","TNFSF14","TNFRSF14"
"7","CD40LG","CD40"
"8","TNFSF9","TNFRSF9"
"9","TNFSF4","TNFRSF4"
"10","TNFSF15","TNFRSF25"
"11","TNFSF18","TNFRSF18"
"12","TNFSF8","TNFRSF8"
"13","SLAMF1","SLAMF1"
"14","CD48","CD2"
"15","CD58","CD2"
"16","PVR","CD226"
"17","NECTIN2","CD226"
"18","CD86","CTLA4"
"19","CD80","CTLA4"
"20","PDCD1LG2","PDCD1"
"21","CD274","PDCD1"
"22","CD274","CD80"
"23","TNFRSF14","CD160"
"24","TNFRSF14","BTLA"
"25","LGALS9","HAVCR2"
"26","CD48","CD244"
"27","PVR","TIGIT"
"28","NECTIN2","TIGIT"
"29","NECTIN3","TIGIT"
"30","ICOSLG","CTLA4"
"31","CADM1","CRTAM"
"32","TIMD4","HAVCR1"
"33","HAVCR1","HAVCR1"
"34","SLAMF6","SLAMF6"
"35","CD84","CD84"
"36","LY9","LY9"
"37","SLAMF7","SLAMF7"
"38","LTA","TNFRSF1A"
"39","TNF","TNFRSF1B"
"40","TNFSF14","LTBR"
"41","FASLG","FAS"
"42","TNFSF10","TNFRSF10A"
"43","TNFSF10","TNFRSF10B"
"44","TNFSF10","TNFRSF10C"
"45","TNFSF10","TNFRSF10D"
"46","HLA-DPA1","LAG3"
"47","HLA-DPB1","LAG3"
"48","HLA-DQA1","LAG3"
"49","HLA-DQA2","LAG3"
"50","HLA-DQB1","LAG3"
"51","HLA-DQB2","LAG3"
"52","HLA-DRA","LAG3"
"53","HLA-DRB1","LAG3"
"54","HLA-DRB3","LAG3"
"55","HLA-DRB4","LAG3"
"56","HLA-DRB5","LAG3"
"57","NECTIN1","CD96"
"58","PVR","CD96"
"59","HMGB1","HAVCR2"
"60","CEACAM1","HAVCR2"
"61","HHLA2","TMIGD2"
"62","PDCD1LG2","RGMB"
"63","CLEC4G","LAG3"
"64","FGL1","LAG3"
"65","A2M","LRP1"
"66","AANAT","MTNR1A"
"67","AANAT","MTNR1B"
"68","ACE","AGTR2"
"69","ACE","BDKRB2"
"70","ADAM10","AXL"
"71","ADAM10","EPHA3"
"72","ADAM12","ITGA9"
"73","ADAM12","ITGB1"
"74","ADAM12","SDC4"
"75","ADAM15","ITGA5"
"76","ADAM15","ITGA9"
"77","ADAM15","ITGAV"
"78","ADAM15","ITGB1"
"79","ADAM15","ITGB3"
"80","ADAM17","ERBB4"
"81","ADAM17","ITGA5"
"82","ADAM17","ITGB1"
"83","ADAM17","NOTCH1"
"84","ADAM23","ITGA5"
"85","ADAM23","ITGB3"
"86","ADAM28","ITGA4"
"87","ADAM2","CD9"
"88","ADAM2","ITGA6"
"89","ADAM2","ITGA9"
"90","ADAM2","ITGB1"
"91","ADAM2","ITGB7"
"92","ADAM9","ITGA3"
"93","ADAM9","ITGA6"
"94","ADAM9","ITGAV"
"95","ADAM9","ITGB1"
"96","ADAM9","ITGB5"
"97","ADCYAP1","ADCYAP1R1"
"98","ADCYAP1","SCTR"
"99","ADCYAP1","VIPR1"
"100","ADCYAP1","VIPR2"
"101","ADIPOQ","ADIPOR1"
"102","ADIPOQ","ADIPOR2"
"103","ADM2","CALCR"
"104","ADM2","CALCRL"
"105","ADM2","RAMP1"
"106","ADM","CALCR"
"107","ADM","CALCRL"
"108","ADM","GPR182"
"109","ADM","MRGPRX2"
"110","ADM","RAMP2"
"111","AGRN","ATP1A3"
"112","AGRN","LRP4"
"113","AGRN","MUSK"
"114","AGRP","MC3R"
"115","AGRP","MC4R"
"116","AGRP","MC5R"
"117","AGRP","SDC3"
"118","AGT","AGTR1"
"119","AGT","AGTR2"
"120","AGT","LRP2"
"121","AGT","MAS1"
"122","AHSG","INSR"
"123","ALB","LRP2"
"124","AMELX","LAMP1"
"125","AMELY","LAMP1"
"126","AMH","ACVR1"
"127","AMH","AMHR2"
"128","AMH","EGFR"
"129","ANGPT1","ITGA5"
"130","ANGPT1","TEK"
"131","ANGPT1","TIE1"
"132","ANGPT2","TEK"
"133","ANGPT4","TEK"
"134","ANGPTL1","TEK"
"135","ANGPTL3","ITGA5"
"136","ANGPTL3","ITGAV"
"137","ANGPTL3","ITGB3"
"138","ANXA1","DYSF"
"139","ANXA1","EGFR"
"140","ANXA1","FPR1"
"141","ANXA1","FPR2"
"142","ANXA1","FPR3"
"143","APLN","APLNR"
"144","APOB","LDLR"
"145","APOB","LRP2"
"146","APOB","LSR"
"147","APOB","OLR1"
"148","APOD","LEPR"
"149","APOE","LDLR"
"150","APOE","LRP1"
"151","APOE","LRP2"
"152","APOE","LRP5"
"153","APOE","LRP8"
"154","APOE","SCARB1"
"155","APOE","SORL1"
"156","APOE","VLDLR"
"157","APP","CAV1"
"158","APP","CD74"
"159","APP","FPR2"
"160","APP","GPC1"
"161","APP","LRP1"
"162","APP","NCSTN"
"163","APP","TNFRSF21"
"164","AREGB","EGFR"
"165","AREG","EGFR"
"166","AREG","ERBB3"
"167","ARF1","CHRM3"
"168","ARF1","INSR"
"169","ARF1","PLD2"
"170","ARTN","GFRA1"
"171","ARTN","GFRA3"
"172","ARTN","RET"
"173","ASIP","ATRN"
"174","ASIP","F11R"
"175","ASIP","MC1R"
"176","ASIP","MC2R"
"177","ASIP","MC3R"
"178","ASIP","MC4R"
"179","ASIP","MC5R"
"180","AVP","AVPR1A"
"181","AVP","AVPR1B"
"182","AVP","AVPR2"
