"","ligand","receptor"
"1","A2m","Lrp1"
"2","Aanat","Mtnr1a"
"3","Aanat","Mtnr1b"
"4","Ace","Agtr2"
"5","Ace","Bdkrb2"
"6","Adam10","Axl"
"7","Adam10","Epha3"
"8","Adam12","Itga9"
"9","Adam12","Itgb1"
"10","Adam12","Sdc4"
"11","Adam15","Itga5"
"12","Adam15","Itga9"
"13","Adam15","Itgav"
"14","Adam15","Itgb1"
"15","Adam15","Itgb3"
"16","Adam17","Erbb4"
"17","Adam17","Itga5"
"18","Adam17","Itgb1"
"19","Adam17","Notch1"
"20","Adam2","Cd9"
"21","Adam2","Itga6"
"22","Adam2","Itga9"
"23","Adam2","Itgb1"
"24","Adam2","Itgb7"
"25","Adam23","Itga5"
"26","Adam23","Itgb3"
"27","Adam28","Itga4"
"28","Adam9","Itga3"
"29","Adam9","Itga6"
"30","Adam9","Itgav"
"31","Adam9","Itgb1"
"32","Adam9","Itgb5"
"33","Adcyap1","Adcyap1r1"
"34","Adcyap1","Sctr"
"35","Adcyap1","Vipr1"
"36","Adcyap1","Vipr2"
"37","Adipoq","Adipor1"
"38","Adipoq","Adipor2"
"39","Adm","Calcr"
"40","Adm","Calcrl"
"41","Adm","Gpr182"
"42","Adm","Mrgprb1"
"43","Adm","Mrgprx2"
"44","Adm","Ramp2"
"45","Adm2","Calcr"
"46","Adm2","Calcrl"
"47","Adm2","Ramp1"
"48","Agrn","Atp1a3"
"49","Agrn","Lrp4"
"50","Agrn","Musk"
"51","Agrp","Mc3r"
"52","Agrp","Mc4r"
"53","Agrp","Mc5r"
"54","Agrp","Sdc3"
"55","Agt","Agtr1b"
"56","Agt","Agtr2"
"57","Agt","Lrp2"
"58","Agt","Mas1"
"59","Ahsg","Insr"
"60","Alb","Lrp2"
"61","Amelx","Lamp1"
"62","Amh","Acvr1"
"63","Amh","Amhr2"
"64","Amh","Egfr"
"65","Angpt1","Itga5"
"66","Angpt1","Tek"
"67","Angpt1","Tie1"
"68","Angpt2","Tek"
"69","Angpt4","Tek"
"70","Angptl1","Tek"
"71","Angptl3","Itga5"
"72","Angptl3","Itgav"
"73","Angptl3","Itgb3"
"74","Anxa1","Dysf"
"75","Anxa1","Egfr"
"76","Anxa1","Fpr1"
"77","Anxa1","Fpr2"
"78","Anxa1","Fpr3"
"79","Apln","Aplnr"
"80","Apob","Ldlr"
"81","Apob","Lrp2"
"82","Apob","Lsr"
"83","Apob","Olr1"
"84","Apod","Lepr"
"85","Apoe","Ldlr"
"86","Apoe","Lrp1"
"87","Apoe","Lrp2"
"88","Apoe","Lrp5"
"89","Apoe","Lrp8"
"90","Apoe","Scarb1"
"91","Apoe","Sorl1"
"92","Apoe","Vldlr"
"93","App","Cav1"
"94","App","Cd74"
"95","App","Fpr2"
"96","App","Gpc1"
"97","App","Lrp1"
"98","App","Ncstn"
"99","App","Tnfrsf21"
"100","Areg","Egfr"
"101","Areg","Erbb3"
"102","Arf1","Chrm3"
"103","Arf1","Insr"
"104","Arf1","Pld2"
"105","Artn","Gfra1"
"106","Artn","Gfra3"
"107","Artn","Ret"
"108","Avp","Avpr1a"
"109","Avp","Avpr1b"
"110","Avp","Avpr2"
"111","Avp","Oxtr"
"112","Azgp1","Itgav"
"113","B2m","Gm11127"
"114","B2m","Gm7030"
"115","B2m","Hfe"
"116","Bdnf","Ngfr"
"117","Bdnf","Ntrk2"
"118","Bdnf","Sort1"
"119","Bgn","Tlr2"
"120","Bgn","Tlr4"
"121","Bmp10","Acvr2a"
"122","Bmp10","Acvrl1"
"123","Bmp10","Bmpr1a"
"124","Bmp10","Bmpr1b"
"125","Bmp10","Bmpr2"
"126","Bmp10","Eng"
"127","Bmp15","Acvr2a"
"128","Bmp15","Bmpr1a"
"129","Bmp15","Bmpr1b"
"130","Bmp15","Bmpr2"
"131","Bmp2","Acvr1"
"132","Bmp2","Acvr2a"
"133","Bmp2","Acvr2b"
"134","Bmp2","Bmpr1a"
"135","Bmp2","Bmpr1b"
"136","Bmp2","Bmpr2"
"137","Bmp2","Eng"
"138","Bmp3","Acvr2b"
"139","Bmp4","Bmpr1a"
"140","Bmp4","Bmpr1b"
"141","Bmp4","Bmpr2"
"142","Bmp5","Bmpr1a"
"143","Bmp6","Acvr1"
"144","Bmp6","Acvr2a"
"145","Bmp6","Bmpr1a"
"146","Bmp6","Bmpr1b"
"147","Bmp6","Bmpr2"
"148","Bmp7","Acvr1"
"149","Bmp7","Acvr2a"
"150","Bmp7","Acvr2b"
"151","Bmp7","Bmpr1a"
"152","Bmp7","Bmpr1b"
"153","Bmp7","Bmpr2"
"154","Bmp7","Eng"
"155","Bst1","Cav1"
"156","Btc","Egfr"
"157","Btc","Erbb2"
"158","Btc","Erbb3"
"159","Btc","Erbb4"
"160","Btla","Cd79a"
"161","Btla","Vtcn1"
"162","C1qa","Cd93"
"163","C1qa","Cspg4"
"164","C1qb","Lrp1"
"165","C1qtnf1","Avpr2"
"166","C1qtnf5","Mfrp"
"167","C3","C3ar1"
"168","C3","C5ar2"
"169","C3","Cd19"
"170","C3","Cd46"
"171","C3","Itgam"
"172","C3","Itgax"
"173","C3","Itgb2"
"174","C3","Lrp1"
"175","C4a","C3ar1"
"176","C4a","C5ar2"
"177","C4a","Cd46"
"178","C4b","C3ar1"
"179","C4b","C5ar2"
"180","C4b","Cd46"
"181","Cadm1","Crtam"
"182","Calca","Calcr"
"183","Calca","Calcrl"
"184","Calca","Ramp1"
"185","Calca","Ramp2"
"186","Calcb","Calcr"
"187","Calcb","Calcrl"
"188","Calcb","Ramp1"
"189","Calr","Itga2b"
"190","Calr","Itga3"
"191","Calr","Itgav"
"192","Calr","Lrp1"
"193","Calr","Mtnr1a"
"194","Calr","Scarf1"
"195","Calr","Tshr"
"196","Camp","Fpr2"
"197","Cck","Cckar"
"198","Cck","Cckbr"
"199","Ccl1","Ccr8"
"200","Ccl11","Ackr2"
"201","Ccl11","Ackr4"
"202","Ccl11","Ccr2"
"203","Ccl11","Ccr3"
"204","Ccl11","Ccr5"
"205","Ccl11","Cxcr3"
"206","Ccl17","Ccr4"
"207","Ccl17","Ccr8"
"208","Ccl19","Ackr2"
"209","Ccl19","Ackr4"
"210","Ccl19","Ccr10"
"211","Ccl19","Ccr7"
"212","Ccl19","Ccrl2"
"213","Ccl19","Cxcr3"
"214","Ccl2","Ackr2"
"215","Ccl2","Ackr4"
"216","Ccl2","Ccr1"
"217","Ccl2","Ccr10"
"218","Ccl2","Ccr2"
"219","Ccl2","Ccr3"
"220","Ccl2","Ccr4"
"221","Ccl2","Ccr5"
"222","Ccl20","Ccr6"
"223","Ccl20","Cxcr3"
"224","Ccl21a","Ackr2"
"225","Ccl21a","Ackr4"
"226","Ccl21a","Ccr7"
"227","Ccl21a","Cxcr3"
"228","Ccl21b","Ackr2"
"229","Ccl21b","Ackr4"
"230","Ccl21b","Ccr7"
"231","Ccl21b","Cxcr3"
"232","Ccl22","Ccr4"
"233","Ccl24","Ccr2"
"234","Ccl24","Ccr3"
"235","Ccl25","Ackr2"
"236","Ccl25","Ackr4"
"237","Ccl25","Ccr10"
"238","Ccl25","Ccr9"
"239","Ccl26","Ccr1"
"240","Ccl26","Ccr2"
