"","ligand","receptor","source","PMIDs"
"1","A2M","LRP1","fantom5,HPMR,HPRD","10652313"
"2","AANAT","MTNR1A","fantom5,HPMR","12943195"
"3","AANAT","MTNR1B","fantom5,HPMR","12943195"
"4","ACE","AGTR2","HPRD,fantom5","11459796"
"5","ACE","BDKRB2","HPRD,fantom5","10748135"
"6","ACTR2","ADRB2","reactome",""
"7","ACTR2","LDLR","reactome",""
"8","ACTR2","LRP2","reactome",""
"9","ADAM10","AXL","fantom5,HPRD","7822279"
"10","ADAM10","EPHA3","fantom5,HPRD","16239146"
"11","ADAM12","ITGA9","HPMR,fantom5","10944520"
"12","ADAM12","ITGB1","HPMR,fantom5","10944520"
"13","ADAM12","SDC4","fantom5,HPMR","12509413"
"14","ADAM15","ITGA5","fantom5,HPMR","9914169,952"
"15","ADAM15","ITGA9","fantom5,HPMR","10944520"
"16","ADAM15","ITGAV","fantom5","9914169"
"17","ADAM15","ITGB1","HPMR,fantom5","9914169,109"
"18","ADAM15","ITGB3","fantom5,HPMR","9516430"
"19","ADAM17","ERBB4","fantom5,HPRD","15534001"
"20","ADAM17","ITGA5","HPMR,fantom5","14970227"
"21","ADAM17","ITGB1","HPMR,fantom5","14970227"
"22","ADAM17","NOTCH1","HPRD,fantom5","10882063,96"
"23","ADAM23","ITGA5","fantom5,HPMR","10749942"
"24","ADAM23","ITGB3","fantom5,HPMR","10749942"
"25","ADAM28","ITGA4","fantom5,HPRD","11724793"
"26","ADAM2","CD9","fantom5,HPRD","10518536"
"27","ADAM2","ITGA6","fantom5,HPMR","9889149"
"28","ADAM2","ITGA9","fantom5","21060781"
"29","ADAM2","ITGB1","HPMR,fantom5","9889149"
"30","ADAM2","ITGB7","fantom5","21060781"
"31","ADAM9","ITGA3","HPRD,fantom5","15361064"
"32","ADAM9","ITGA6","HPMR,fantom5,HPRD","10825303,15"
"33","ADAM9","ITGAV","HPRD,HPMR,fantom5","11162558,15"
"34","ADAM9","ITGB1","fantom5,HPMR","10825303"
"35","ADAM9","ITGB5","HPMR,fantom5","11162558"
"36","ADCYAP1","ADCYAP1R1","HPRD,reactome,fantom5,IUPHAR,HPMR","10100920,8703026,10583729,16930633,11931347,8253796"
"37","ADCYAP1","ADRB2","reactome",""
"38","ADCYAP1","ADRB3","reactome",""
"39","ADCYAP1","GPR20","reactome",""
"40","ADCYAP1","GPR84","reactome",""
"41","ADCYAP1","PTH1R","reactome",""
"42","ADCYAP1","RAMP2","reactome",""
"43","ADCYAP1","RAMP3","reactome",""
"44","ADCYAP1","SCTR","HPRD,fantom5","1335692"
"45","ADCYAP1","TSHR","reactome",""
"46","ADCYAP1","VIPR1","reactome,HPRD,HPMR,IUPHAR,fantom5","11897681,9928018,11931347,16930633,8791009,12429744"
"47","ADCYAP1","VIPR2","HPRD,fantom5,IUPHAR","16930633,11978642,9928018,11931347,8146174"
"48","ADIPOQ","ADIPOR1","HPMR,fantom5","12802337"
"49","ADIPOQ","ADIPOR2","HPRD,fantom5,HPMR","12802337"
"50","ADM2","ADCYAP1R1","reactome",""
"51","ADM2","ADRB2","reactome",""
"52","ADM2","ADRB3","reactome",""
"53","ADM2","CALCR","fantom5,IUPHAR","15692146"
"54","ADM2","CALCRL","fantom5,HPMR","14615490"
"55","ADM2","GPR20","reactome",""
"56","ADM2","GPR84","reactome",""
"57","ADM2","PTH1R","reactome",""
"58","ADM2","RAMP1","HPMR,fantom5","12684503"
"59","ADM2","RAMP2","reactome",""
"60","ADM2","RAMP3","reactome",""
"61","ADM2","TSHR","reactome",""
"62","ADM2","VIPR1","reactome",""
"63","ADM","ADCYAP1R1","reactome",""
"64","ADM","ADRB2","reactome",""
"65","ADM","ADRB3","reactome",""
"66","ADM","CALCR","IUPHAR,fantom5","15692146,13"
"67","ADM","CALCRL","HPMR,fantom5,HPRD","9620797"
"68","ADM","GPR182","fantom5,HPMR","7592696"
"69","ADM","GPR20","reactome",""
"70","ADM","GPR84","reactome",""
"71","ADM","MRGPRX2","HPMR,IUPHAR,fantom5","16111673,16"
"72","ADM","PTH1R","reactome",""
"73","ADM","RAMP2","HPMR,fantom5,reactome","9620797"
"74","ADM","RAMP3","reactome",""
"75","ADM","TSHR","reactome",""
"76","ADM","VIPR1","reactome",""
"77","AGRN","ATP1A3","fantom5","16630822"
"78","AGRN","ITGB1","reactome",""
"79","AGRN","LRP1","reactome",""
"80","AGRN","LRP2","reactome",""
"81","AGRN","LRP4","reactome,fantom5","18848351"
"82","AGRN","MUSK","fantom5,HPMR,reactome","8653787"
"83","AGRP","MC3R","HPRD,HPMR,IUPHAR,fantom5","9311920,9819197,9893984,11747427"
"84","AGRP","MC4R","HPMR,fantom5,IUPHAR,HPRD","9311920,9299416,10318826,11747427,12815165"
"85","AGRP","MC5R","HPRD,fantom5,IUPHAR","9892020"
"86","AGRP","SDC3","fantom5","11461706"
"87","AGT","ADRA2A","reactome",""
"88","AGT","AGTR1","HPMR,IUPHAR,fantom5,HPRD","10993080,15930094,21464395,10193788,12006574,15930094"
"89","AGT","AGTR2","HPRD,fantom5,IUPHAR,HPMR","8315512,8185599,17138938,21464395,2775266,7850406,8242249,8185599"
"90","AGT","GRM7","reactome",""
"91","AGT","LRP2","fantom5,HPMR","15467006"
"92","AGT","MAS1","fantom5,HPMR,HPRD","12829792"
"93","AGT","MTNR1A","reactome",""
"94","AHSG","INSR","HPRD,fantom5","7906861"
"95","ALB","LRP2","HPRD,fantom5","11158855,89"
"96","ALOX5AP","ALOX5","IUPHAR,fantom5,HPRD",""
"97","AMELX","LAMP1","fantom5","20382373"
"98","AMELY","LAMP1","fantom5","20382373"
"99","AMH","ACVR1","fantom5","14656470"
"100","AMH","AMHR2","HPMR,fantom5,uniprot,HPRD","7997230,889"
"101","AMH","EGFR","HPRD,fantom5","8596488"
"102","ANGPT1","ITGA5","HPRD,fantom5","15781448"
"103","ANGPT1","ITGB1","fantom5",""
"104","ANGPT1","TEK","HPRD,HPMR,IUPHAR,fantom5","8980223,9723709,8980223,12427764,8980224"
"105","ANGPT1","TIE1","HPMR,fantom5","11172728"
"106","ANGPT2","TEK","HPMR,fantom5,HPRD","9204896,972"
"107","ANGPT2","TIE1","fantom5",""
"108","ANGPT4","TEK","HPRD,fantom5,IUPHAR","10051567"
"109","ANGPT4","TIE1","fantom5",""
"110","ANGPTL1","TEK","fantom5,HPRD","10051567"
"111","ANGPTL2","TIE1","fantom5",""
"112","ANGPTL3","ITGA5","HPRD,fantom5","11877390"
"113","ANGPTL3","ITGAV","HPRD,fantom5","11877390"
"114","ANGPTL3","ITGB3","HPRD,fantom5","11877390"
"115","ANGPTL4","TIE1","fantom5",""
"116","ANOS1","FGFR1","fantom5","19696444"
"117","ANOS1","SDC2","HPRD,fantom5",""
"118","ANXA1","ADRA2A","reactome",""
"119","ANXA1","DYSF","HPRD,fantom5","14506282"
"120","ANXA1","EGFR","fantom5,HPRD","15581623"
"121","ANXA1","FPR1","HPRD,IUPHAR,fantom5,HPMR","10882119,13"
"122","ANXA1","FPR2","IUPHAR,fantom5","12368905,10882119,12560218,16278303"
"123","ANXA1","FPR3","IUPHAR,fantom5","15187149"
"124","ANXA1","GRM7","reactome",""
"125","ANXA1","MTNR1A","reactome",""
"126","APLN","ADRA2A","reactome",""
"127","APLN","APLNR","HPMR,fantom5,IUPHAR,HPRD","10617103,9792798,12603839,15341513,10777510,12939143,11336787"
"128","APLN","GRM7","reactome","10617103,9792798,12603839,15341513,10777510,12939143,11336787"
"129","APLN","MTNR1A","reactome",""
"130","APOA1","LDLR","reactome",""
"131","APOA1","LRP1","reactome",""
"132","APOA1","LRP2","reactome",""
"133","APOA2","LDLR","reactome",""
"134","APOA2","LRP1","reactome",""
"135","APOA2","LRP2","reactome",""
"136","APOA4","LDLR","reactome",""
"137","APOA4","LRP1","reactome",""
"138","APOA4","LRP2","reactome",""
"139","APOB","ADRB2","reactome",""
"140","APOB","CALCR","fantom5",""
"141","APOB","ITGAM","fantom5",""
"142","APOB","ITGB2","fantom5",""
"143","APOB","LDLR","fantom5,HPMR,HPRD,reactome","11327878,12"
"144","APOB","LRP1","reactome",""
"145","APOB","LRP2","reactome,HPRD,fantom5","10330424"
"146","APOB","LRP6","fantom5",""
"147","APOB","LRP8","fantom5",""
"148","APOB","LSR","fantom5","7615497"
"149","APOB","MTTP","reactome",""
"150","APOB","OLR1","fantom5","9763524"
"151","APOB","TLR4","reactome",""
"152","APOB","TLR6","reactome",""
"153","APOB","VLDLR","reactome",""
"154","APOC1","VLDLR","reactome",""
"155","APOC2","LDLR","reactome",""
"156","APOC2","LRP1","reactome",""
"157","APOC2","LRP2","reactome",""
