Protein stable ID	Gene name
ENSMUSP00000081048  Adam9
	mt-Tf
	mt-Rnr1
	mt-Tv
	mt-Rnr2
	mt-Tl1
ENSMUSP00000080991	mt-Nd1
	mt-Ti
	mt-Tq
	mt-Tm
ENSMUSP00000080992	mt-Nd2
	mt-Tw
	mt-Ta
	mt-Tn
	mt-Tc
	mt-Ty
ENSMUSP00000080993	mt-Co1
	mt-Ts1
	mt-Td
ENSMUSP00000080994	mt-Co2
	mt-Tk
ENSMUSP00000080995	mt-Atp8
ENSMUSP00000080996	mt-Atp6
ENSMUSP00000080997	mt-Co3
	mt-Tg
ENSMUSP00000080998	mt-Nd3
	mt-Tr
ENSMUSP00000081021	mt-Nd4l
ENSMUSP00000081000	mt-Nd4
	mt-Th
	mt-Ts2
	mt-Tl2
ENSMUSP00000081001	mt-Nd5
ENSMUSP00000081002	mt-Nd6
	mt-Te
ENSMUSP00000081003	mt-Cytb
	mt-Tt
	mt-Tp
	
ENSMUSP00000136941	
ENSMUSP00000136885	
ENSMUSP00000136028	
ENSMUSP00000136649	
ENSMUSP00000136877	
ENSMUSP00000136117	
ENSMUSP00000137208	
ENSMUSP00000107053	
ENSMUSP00000094625	
ENSMUSP00000095098	
ENSMUSP00000136543	
	
ENSMUSP00000136057	Vmn1r186
ENSMUSP00000106205	
	
	
	
ENSMUSP00000096850	
ENSMUSP00000136748	
ENSMUSP00000135921	
ENSMUSP00000111587	
ENSMUSP00000135922	
ENSMUSP00000136125	
ENSMUSP00000137612	
ENSMUSP00000129755	
ENSMUSP00000136452	
ENSMUSP00000106995	
ENSMUSP00000136818	
ENSMUSP00000136855	
ENSMUSP00000136605	
ENSMUSP00000127988	
ENSMUSP00000136303	
ENSMUSP00000136368	
ENSMUSP00000111594	
	
ENSMUSP00000136476	
ENSMUSP00000106991	
ENSMUSP00000111591	
ENSMUSP00000137581	
ENSMUSP00000136325	
ENSMUSP00000136208	
ENSMUSP00000137125	
ENSMUSP00000091219	Csprs
ENSMUSP00000135923	
ENSMUSP00000136400	
ENSMUSP00000137243	
ENSMUSP00000136843	Gm16367
ENSMUSP00000137421	
ENSMUSP00000136558	
ENSMUSP00000137185	
ENSMUSP00000126681	
ENSMUSP00000136198	
ENSMUSP00000136565	
ENSMUSP00000137110	
ENSMUSP00000137276	
	Gm28489
	Gm21867
	Gm29448
	Gm21127
ENSMUSP00000140326	Gm20816
ENSMUSP00000137306	Gm20816
	Gm29447
	Gm29447
	Gm29446
	Gm29452
	Gm29451
ENSMUSP00000140565	Gm20817
	Gm28633
	Gm28633
	Gm21562
	Gm21562
	Gm29410
	Gm28298
	Gm28298
	Gm21572
	Gm21572
	Gm28297
	Gm28297
	Gm21753
	Gm21723
	Gm21723
	Gm28462
	Gm28462
	Gm20818
	Gm28296
	Gm28296
	Gm21821
	Gm21821
	Gm28295
	Gm28295
	Gm20932
	Gm29134
	Gm28303
	Gm28304
	Gm28824
	Gm21810
	Gm21916
	Gm21916
	Gm29191
	Gm29191
	Gm21756
	Gm28210
	Gm29074
	Gm29074
	Gm29074
	Gm28211
	Gm28518
	Gm28518
	Gm28518
	Gm28519
	Gm28519
	Gm28519
	Gm28520
	Gm28520
	Gm28520
	Gm21626
	Gm21626
	Gm28433
	Gm28521
	Gm28521
	Gm28431
	Gm21633
	Gm21633
	Gm28432
	Gm28432
	Gm20886
	Gm28522
	Gm28522
	Gm21808
	Gm21745
	Gm28517
	Gm29532
	Gm29532
	Gm29531
	Gm28464
	Gm28464
	Gm28841
	Gm29656
	Gm28842
	Gm28842
	Gm28843
	Gm29655
	Gm29655
	Gm28837
	Gm21647
	Gm29653
	Gm28838
	Gm29654
	Gm28839
	Gm29651
	Gm20866
	Gm20868
	Gm29652
	Gm29080
	Gm21184
	Gm21201
	Gm21841
	Gm29081
	Gm29081
	Gm29081
	Gm29077
	Gm29076
	Gm29079
	Gm29078
	Gm20853
	Gm29075
ENSMUSP00000139722	Gm20870
	Gm29225
	Gm29225
	Gm29225
	Gm28483
	Gm29226
	Gm28484
	Gm29227
	Gm28480
	Gm20842
	Gm21880
	Gm29386
	Gm29386
	Gm29386
	Gm29384
	Gm21896
	Gm29280
	Gm20799
	Gm29279
	Gm29182
	Gm29182
	Gm28260
	Gm28260
	Gm28260
	Gm21795
	Gm20844
	Gm28261
	Gm28264
	Gm21872
	Gm20798
	Gm28463
	Gm28463
	Gm28463
	Gm21757
	Gm28968
	Gm28495
	Gm20846
	Gm20847
	Gm20848
	Gm21766
	Gm20800
	Gm21683
	Gm28468
	Gm20898
	Gm21855
	Gm29333
	Gm29255
	Gm29255
	Gm20902
	Gm28332
	Gm28332
	Gm28332
	Gm28678
	Gm28333
	Gm28334
	Gm28335
ENSMUSP00000141119	Gm20903
	Gm28336
	Gm28272
	Gm28337
	Gm29256
	Gm28259
	Gm28259
	Gm28338
	Gm28338
	Gm28338
	Gm28273
	Gm21715
	Gm29028
	Gm29029
	Gm29615
	Gm29030
	Gm29023
	Gm29024
	Gm29025
	Gm29026
	Gm28213
	Gm28212
	Gm21799
	Gm28227
ENSMUSP00000140730	Gm20905
	Gm29411
	Gm28222
	Gm21835
	Gm28820
	Gm28820
	Gm28223
	Gm29412
	Gm29413
	Gm29671
	Gm21878
	Gm28162
	Gm28789
	Gm28789
	Gm20922
ENSMUSP00000136636	Gm20738
ENSMUSP00000140666	Gm20814
	Gm28787
	Gm28788
	Gm28545
	Gm28545
	Gm28547
	Gm29278
	Gm29278
	Gm28546
	Gm21922
	Gm21924
	Gm21111
	Gm21735
	Gm28608
	Gm28607
	Gm28771
	Gm28771
	Gm28772
	Gm28606
	Gm28606
	Gm28773
ENSMUSP00000141004	Gm20850
ENSMUSP00000140689	Gm20897
	Gm29574
	Gm28774
	Gm28774
	Gm29575
	Gm28775
	Gm21765
	Gapdh-ps15
	Gm28776
	Gm21787
	Gm28770
	Gm20901
	Gm28176
	Gm28176
	Gm28786
	Gm29360
	Gm29360
	Gm28121
	Gm29496
	Gm29497
	Gm29497
	Gm29499
	Gm28123
	Gm28120
	Gm29313
	Gm29313
	Gm29498
	Gm29498
	Gm21180
	Gm36782
	Gm20859
	Gm29839
	Gm29314
	Gm29495
	Gm29310
	Gm29311
	Gm29311
	Gm21638
	Gm29312
	Gm29308
	Gm29309
	Gm28702
	Gm28701
	Gm28700
	Gm28699
	Gm28705
	Gm28704
	Gm28540
	Gm28540
	Gm28537
	Gm28538
	Gm29569
	Gm29569
