0,1
Cdh1,Lrp6
Cdh1,Lrp1
Cdh1,Selp
Cdh1,Itgb2
Col1a1,Itgav
Col1a1,Itga2
Col1a1,Itga1
Col1a1,Mag
Col1a1,Ddr2
Il16,Egfr
Il16,Lrp6
Il16,Itgb7
Il16,Lrp1
Il16,Tlr2
Il16,Itgav
Il16,Itgam
Il16,Erbb2
Il16,Itgal
Il16,Itgb1
Il16,Cd44
Il16,Cd93
Il16,Acvr2b
Il16,Bmpr1b
Il16,Acvr2a
Il16,Tgfbr2
Il16,Bmpr2
Il16,Bmpr1a
Il16,Tgfbr1
Il16,Lrp2
Il16,Gpc1
Il16,Cav1
Il16,Ret
Il16,Notch1
Il16,Acvr1
Il16,Nrp1
Il16,Nrp2
Il16,Dcc
Il16,Lrp8
Il16,Notch2
Il16,Vldlr
Il16,Sell
Il16,Itgb5
Il16,Plxna4
Il16,Itga4
Il16,Plxnb2
Il16,Itga2b
Il16,Itga9
Il16,Erbb3
Il16,Erbb4
Il16,Plxna1
Il16,Rtn4r
Il16,Musk
Il16,Nrxn1
Il16,Nrxn3
Il16,Selp
Il16,Ptgdr
Il16,Htr6
Il16,Rtn4rl2
Il16,Cntn1
Il16,Itgb2
Il16,Sdc4
Il16,Itgb3
Il16,Lhcgr
Il16,Gcgr
Il16,Gpc4
Il16,Nectin1
Il16,Cntnap1
Lamb1,Egfr
Lamb1,Lrp6
Lamb1,Itgb7
Lamb1,Lrp1
Lamb1,Tlr2
Lamb1,Itgav
Lamb1,Cd44
Lamb1,Cd93
Lamb1,Lrp2
Lamb1,Notch1
Lamb1,Notch3
Lamb1,Cd47
Lamb1,Itga7
Lamb1,Cd36
Lamb1,Lrp8
Lamb1,Notch2
Lamb1,Vldlr
Lamb1,Notch4
Lamb1,Itgb4
Lamb1,Tlr4
Lamb1,Itga5
Lamb1,Col13a1
Lamb1,Itga2b
Lamb1,Itga9
Lamb1,Itga2
Lamb1,Itga1
Lamb1,Mag
Lamb1,Plxna1
Lamb1,Flrt2
Lamb1,Selp
Lamb1,Ddr2
Lamb1,Itgb2
Lamb1,Itga3
Lamb1,Cd79a
Lamb1,Sdc4
Lamb1,Itgb3
Lamb1,Itgb6
Comp,Itgb1
Calr,Egfr
Calr,Ryr2
App,Egfr
App,Tlr4
App,Ldlr
App,Selp
App,Itgb2
Plg,Itgb1
Dll1,Itgav
Dll1,Itgb1
Dll1,Cd93
Lama5,Itgav
Lama5,Itgb1
Lama5,Cd93
Lama5,Col13a1
Lama5,Itga2b
Lama5,Itga2
Lama5,Itga1
Lama5,Mag
Lama5,Ptprs
Lnx2,Lrp6
Lnx2,Itgb2
Icam5,Itgav
Icam5,Itgb1
Icam5,Cd93
Sema6a,Egfr
Sema6a,Lrp6
Sema6a,Lrp1
Sema6a,Lrp2
Sema6a,Tlr4
Sema6a,Selp
Sema6a,Itgb2
Lama4,Egfr
Lama4,Lrp6
Lama4,Itgb7
Lama4,Lrp1
Lama4,Tlr2
Lama4,Itgav
Lama4,Itgam
Lama4,Itgal
Lama4,Cd44
Lama4,Lrp2
Lama4,Notch1
Lama4,Cd47
Lama4,Cd36
Lama4,Nrp1
Lama4,Lrp8
Lama4,Vldlr
Lama4,Sell
Lama4,Tlr4
Lama4,Itga5
Lama4,Itga2b
Lama4,Itga9
Lama4,Plxna1
Lama4,Ldlr
Lama4,Scarb1
Lama4,Flrt2
Lama4,Selp
Lama4,Itgb2
Lama4,Itga3
Lama4,Sdc4
Lama4,Itgb3
