From	To	
A0N0L5	IL6R	
A0N0P2	CD80	
A0N0Q0	CCR7	
A0N0Q1	CCR4	
A0N0Q3	CCL28	
A0N0R1	CCL3	
A0N0R2	BLR1	
A0PJM9	NPFFR2	
A3KLL5	ATP1B1	
A3KPE2	APOC3	
A3QNQ0	TGFBR2	
A4D0S4	LAMB4	
A4D0Y8	LEP	
A4D158	NPY	
A4D1B1	CD36	
P30988	CALCR	
Q99835	SMO	
A4D1U7   CLECSF5	
A4D1W7   INHBA	
A4D2L1   RAMP3	
A5PL27   CP	
A5YM40   TGFB3	
A6NNA4   MATN4	
P47869   GABRA2	
A8K1P5   FGF13	
A8K2H7   C3AR1	
A8K3F7   IL11	
A8K3H3   RARG	
A8K571   BMP7	
A8K660   ADIPOQ	
A8K7I4   CLCA1	
A8K881   IFNGR2	
A8MVV6   TSPAN4	
B0YIY5   CD3G	
B0ZBE0   ADRA1D	
B0ZBE2   AGT	
B0ZBF6   NR3C2	
B1A4G6   GH1	
Q9Y5C1   ANGPTL3	
B1AM27   UNC13B	
P15169   CPN1	
B1PKY1   HLA-A	
B2R4C5   LYZ	
P15907   ST6GAL1	
P02654   APOC1	
B2R8C0   CCRL2	
B2R9L7   OXTR	
B2RNB2   ADAM17	
B4DIP2   ERBIN	
B4DN26   PLAT	
B4DXD3   NR1D2	
B6ZGS9   NR1H4	
B7ZLY3   LTBP1	
B9EG76   LTBP3	
C6SUN5   AgRP	
O15520   FGF10	
C8C060   BMP2	
Q8N423   LILRB2	
D0E2W4   CRLF2 fusion	
D0EI67   CCL5	
D0PNI2   LOX	
D2CGD1   FGFR2	
D2KUA6   PPARG	
D3DPA4   ACVR1	
D4HNR6   IL4	
D7RIH8   HLA-DRB1	
D9ZGF2   COL6A3	
D9ZGG2   VTN	
E5FQ95   HLA-B	
O15455   TLR3	
P16112   ACAN	
P07359   GP1BA	
E9KL23   SERPINA1	
E9KL26   SERPING1	
E9KL36   HEL111	
E9PHR9   PLSCR4	
F1D8N1   NR1H3	
F1D8N3   NR3A2	
F1D8N4   NR3C1	
F1D8N5   NR3C4	
F1D8N6   NR4A2	
A0A024R2I8   NR1A2	
F1D8P1   NR1B3	
F1D8P4   NR0B1	
F1D8P7   NR1H2	
F1D8P8   NR1i1	
F1D8Q4   NR2A2	
F1D8Q5   NR2B1	
F1D8Q7   NR2B3	
F1D8Q9   NR2E3	
F1D8R0   NR2F2	
