cell,cell_type
1,2
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,0
30,2
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,5
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,2
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,2
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,3
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,2
113,0
114,0
115,1
116,1
117,0
118,2
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,2
139,1
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,1
155,0
156,1
157,2
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,2
174,1
175,2
176,1
177,1
178,1
179,4
180,1
181,0
182,1
183,0
184,6
185,1
186,0
187,2
188,1
189,1
190,2
191,2
192,1
193,1
194,1
195,2
196,2
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,1
205,4
206,1
207,4
208,0
209,0
210,2
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,2
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,1
244,6
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,3
253,1
254,1
255,0
256,0
257,1
258,1
259,3
260,0
261,2
262,0
263,1
264,1
265,2
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,1
275,4
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,2
284,1
285,1
286,1
287,2
288,0
289,4
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,2
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,3
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,2
346,1
347,1
348,0
349,1
350,4
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,2
360,0
361,1
362,2
363,0
364,0
365,0
366,0
367,1
368,1
369,3
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,6
386,1
387,1
388,1
389,5
390,2
391,1
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,0
413,1
414,1
415,4
416,0
417,4
418,0
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,2
428,2
429,2
430,2
431,2
432,1
433,1
434,1
435,1
436,1
437,1
438,2
439,1
440,2
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,2
457,2
458,1
459,1
460,2
461,1
462,1
463,2
464,1
465,1
466,2
467,2
468,1
469,1
470,2
471,1
472,2
473,1
474,2
475,1
476,1
477,1
478,1
479,1
480,1
481,2
482,1
483,1
484,2
485,1
486,1
487,2
488,2
489,2
490,2
491,1
492,1
493,2
494,1
495,1
496,1
497,1
498,1
499,1
500,2
501,1
502,1
503,2
504,2
505,2
506,2
507,1
508,2
509,2
510,1
511,2
512,2
513,1
514,1
515,2
516,1
517,2
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,6
539,1
540,1
541,1
542,1
543,1
544,1
545,2
546,1
547,1
548,1
549,1
550,1
551,2
552,1
553,1
554,2
555,2
556,1
557,1
558,1
559,1
560,1
561,2
562,1
563,1
564,2
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,2
573,2
574,1
575,1
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,1
596,1
597,0
598,2
599,0
600,1
601,2
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,2
627,1
628,0
629,0
630,0
631,1
632,2
633,1
634,1
635,1
636,2
637,0
638,0
639,1
640,0
641,0
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,2
656,0
657,0
658,0
659,1
660,2
661,1
662,0
663,1
664,1
665,0
666,2
667,0
668,0
669,2
670,2
671,1
672,0
673,0
674,0
675,0
676,1
677,2
678,1
679,1
680,0
681,1
682,0
683,2
684,1
685,1
686,0
687,1
688,1
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,0
697,2
698,0
699,0
700,2
701,1
702,0
703,1
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,0
712,0
713,2
714,1
715,0
716,2
717,1
718,1
719,0
720,0
721,0
722,0
723,1
724,2
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,2
741,0
742,0
743,0
744,0
745,2
746,2
747,1
748,1
749,0
750,1
751,1
752,0
753,2
754,0
755,0
756,1
757,0
758,0
759,1
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,0
768,0
769,2
770,1
771,0
772,2
773,2
774,0
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,1
796,1
797,1
798,2
799,0
800,0
801,1
802,1
803,1
804,2
805,0
806,0
807,2
808,2
809,0
810,0
811,0
812,0
813,1
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,2
826,0
827,0
828,2
829,1
830,1
831,1
832,0
833,1
834,2
835,0
836,1
837,0
838,1
839,0
840,2
841,0
842,1
843,4
844,0
845,0
846,1
847,0
848,2
849,0
850,0
851,2
852,1
853,1
854,0
855,2
856,0
857,0
858,1
859,1
860,1
861,0
862,0
863,2
864,2
865,1
866,1
867,1
868,0
869,1
870,1
871,0
872,1
873,1
874,0
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,1
897,1
898,1
899,0
900,2
901,0
902,1
903,2
904,2
905,1
906,0
907,2
908,0
909,0
910,0
911,1
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,1
936,0
937,0
938,2
939,1
940,0
941,1
942,0
943,2
944,1
945,0
946,1
947,0
948,1
949,1
950,1
951,0
952,0
953,1
954,0
955,0
956,1
957,0
958,1
959,4
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,4
1005,0
1006,1
1007,5
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,3
1026,0
1027,1
1028,0
1029,0
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,1
1042,4
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,4
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
